dim0,dim1,dim2,dim3,dim4,geo,year,value
A,TO_EMP,EMP_PT,T,PC,LV,2006,80.4
A,TO_EMP,EMP_PT,T,PC,ME,2006,
A,TO_EMP,EMP_PT,T,PC,MK,2006,
A,TO_EMP,EMP_PT,T,PC,MT,2006,85.4
A,TO_EMP,EMP_PT,T,PC,NL,2006,92.0
A,TO_EMP,EMP_PT,T,PC,NO,2006,82.9
A,TO_EMP,EMP_PT,T,PC,PL,2006,86.1
A,TO_EMP,EMP_PT,T,PC,PT,2006,76.0
A,TO_EMP,EMP_PT,T,PC,RO,2006,94.8
A,TO_EMP,EMP_PT,T,PC,RS,2006,
A,TO_EMP,EMP_PT,T,PC,SE,2006,89.9
A,TO_EMP,EMP_PT,T,PC,SI,2006,
A,TO_EMP,EMP_PT,T,PC,SK,2006,78.3
A,TO_EMP,EMP_PT,T,PC,TR,2006,
A,TO_EMP,EMP_PT,T,PC,UK,2006,87.6
A,TO_EMP,INAC,F,PC,AL,2006,
A,TO_EMP,INAC,F,PC,AT,2006,13.1
A,TO_EMP,INAC,F,PC,BE,2006,7.1
A,TO_EMP,INAC,F,PC,BG,2006,6.5
A,TO_EMP,INAC,F,PC,CH,2006,
A,TO_EMP,INAC,F,PC,CY,2006,5.9
A,TO_EMP,INAC,F,PC,CZ,2006,7.5
A,TO_EMP,INAC,F,PC,DE,2006,13.9
A,TO_EMP,INAC,F,PC,DK,2006,12.9
A,TO_EMP,INAC,F,PC,EA,2006,9.0
A,TO_EMP,INAC,F,PC,EA18,2006,9.1
A,TO_EMP,INAC,F,PC,EA19,2006,9.0
A,TO_EMP,INAC,F,PC,EA20,2006,
A,TO_EMP,INAC,F,PC,EE,2006,10.8
A,TO_EMP,INAC,F,PC,EL,2006,7.2
A,TO_EMP,INAC,F,PC,ES,2006,6.3
A,TO_EMP,INAC,F,PC,EU,2006,9.6
A,TO_EMP,INAC,F,PC,EU27_2007,2006,9.7
A,TO_EMP,INAC,F,PC,EU27_2020,2006,8.5
A,TO_EMP,INAC,F,PC,EU28,2006,9.6
A,TO_EMP,INAC,F,PC,FI,2006,20.4
A,TO_EMP,INAC,F,PC,FR,2006,8.8
A,TO_EMP,INAC,F,PC,HR,2006,5.1
A,TO_EMP,INAC,F,PC,HU,2006,9.5
A,TO_EMP,INAC,F,PC,IE,2006,6.6
A,TO_EMP,INAC,F,PC,IS,2006,26.7
A,TO_EMP,INAC,F,PC,IT,2006,6.5
A,TO_EMP,INAC,F,PC,LT,2006,8.3
A,TO_EMP,INAC,F,PC,LU,2006,10.1
A,TO_EMP,INAC,F,PC,LV,2006,12.9
A,TO_EMP,INAC,F,PC,ME,2006,
A,TO_EMP,INAC,F,PC,MK,2006,
A,TO_EMP,INAC,F,PC,MT,2006,6.6
A,TO_EMP,INAC,F,PC,NL,2006,8.3
A,TO_EMP,INAC,F,PC,NO,2006,16.8
A,TO_EMP,INAC,F,PC,PL,2006,6.2
A,TO_EMP,INAC,F,PC,PT,2006,6.7
A,TO_EMP,INAC,F,PC,RO,2006,4.6
A,TO_EMP,INAC,F,PC,RS,2006,
A,TO_EMP,INAC,F,PC,SE,2006,18.6
A,TO_EMP,INAC,F,PC,SI,2006,
A,TO_EMP,INAC,F,PC,SK,2006,6.6
A,TO_EMP,INAC,F,PC,TR,2006,
A,TO_EMP,INAC,F,PC,UK,2006,19.5
A,TO_EMP,INAC,M,PC,AL,2006,
A,TO_EMP,INAC,M,PC,AT,2006,8.9
A,TO_EMP,INAC,M,PC,BE,2006,7.6
A,TO_EMP,INAC,M,PC,BG,2006,6.4
A,TO_EMP,INAC,M,PC,CH,2006,
A,TO_EMP,INAC,M,PC,CY,2006,7.7
A,TO_EMP,INAC,M,PC,CZ,2006,5.0
A,TO_EMP,INAC,M,PC,DE,2006,11.6
A,TO_EMP,INAC,M,PC,DK,2006,16.3
A,TO_EMP,INAC,M,PC,EA,2006,8.9
A,TO_EMP,INAC,M,PC,EA18,2006,8.9
A,TO_EMP,INAC,M,PC,EA19,2006,8.9
A,TO_EMP,INAC,M,PC,EA20,2006,
A,TO_EMP,INAC,M,PC,EE,2006,11.1
A,TO_EMP,INAC,M,PC,EL,2006,3.6
A,TO_EMP,INAC,M,PC,ES,2006,7.8
A,TO_EMP,INAC,M,PC,EU,2006,9.8
A,TO_EMP,INAC,M,PC,EU27_2007,2006,9.8
A,TO_EMP,INAC,M,PC,EU27_2020,2006,8.4
A,TO_EMP,INAC,M,PC,EU28,2006,9.8
A,TO_EMP,INAC,M,PC,FI,2006,15.5
A,TO_EMP,INAC,M,PC,FR,2006,6.4
A,TO_EMP,INAC,M,PC,HR,2006,3.8
A,TO_EMP,INAC,M,PC,HU,2006,6.9
A,TO_EMP,INAC,M,PC,IE,2006,9.7
A,TO_EMP,INAC,M,PC,IS,2006,21.4
A,TO_EMP,INAC,M,PC,IT,2006,10.0
A,TO_EMP,INAC,M,PC,LT,2006,7.4
